Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
VARG,13.11.2014,"350,00",,,"350,00","0,00",,,
VARG,14.11.2014,"350,00",,,"350,00","0,00",,,
VARG,17.11.2014,"350,00",,,"350,00","0,00",,,
VARG,18.11.2014,"350,00",,,"350,00","0,00",,,
VARG,19.11.2014,"350,00",,,"350,00","0,00",,,
VARG,20.11.2014,"350,00",,,"350,00","0,00",,,
VARG,21.11.2014,"350,00",,,"350,00","0,00",,,
VARG,24.11.2014,"350,00",,,"350,00","0,00",,,
VARG,25.11.2014,"350,00",,,"350,00","0,00",,,
VARG,26.11.2014,"350,00",,,"350,00","0,00",,,
VARG,27.11.2014,"350,00",,,"350,00","0,00",,,
VARG,28.11.2014,"350,00",,,"350,00","0,00",,,
VARG,01.12.2014,"350,00",,,"350,00","0,00",,,
VARG,02.12.2014,"350,00",,,"350,00","0,00",,,
VARG,04.12.2014,"350,00",,,"350,00","0,00",,,
VARG,05.12.2014,"350,00",,,"350,00","0,00",,,
VARG,09.12.2014,"350,00",,,"350,00","0,00",,,
VARG,10.12.2014,"350,00",,,"350,00","0,00",,,
VARG,11.12.2014,"350,00",,,"350,00","0,00",,,
VARG,12.12.2014,"350,00",,,"350,00","0,00",,,
VARG,15.12.2014,"350,00",,,"350,00","0,00",,,
VARG,16.12.2014,"350,00",,,"350,00","0,00",,,
VARG,17.12.2014,"350,00",,,"350,00","0,00",,,
VARG,18.12.2014,"350,00",,,"350,00","0,00",,,
VARG,19.12.2014,"350,00",,,"350,00","0,00",,,
VARG,22.12.2014,"350,00",,,"350,00","0,00",,,
VARG,23.12.2014,"350,00",,,"350,00","0,00",,,
VARG,24.12.2014,"350,00",,,"350,00","0,00",,,
VARG,25.12.2014,"350,00",,,"350,00","0,00",,,
VARG,26.12.2014,"350,00",,,"350,00","0,00",,,
VARG,29.12.2014,"350,00",,,"350,00","0,00",,,
VARG,30.12.2014,"350,00",,,"350,00","0,00",,,
VARG,02.01.2015,"350,00",,,"350,00","0,00",,,
VARG,05.01.2015,"350,00",,,"350,00","0,00",,,
VARG,08.01.2015,"350,00",,,"350,00","0,00",,,
VARG,09.01.2015,"350,00",,,"350,00","0,00",,,
VARG,12.01.2015,"350,00",,,"350,00","0,00",,,
VARG,13.01.2015,"350,00",,,"350,00","0,00",,,
VARG,14.01.2015,"350,00",,,"350,00","0,00",,,
VARG,15.01.2015,"350,00",,,"350,00","0,00",,,
VARG,16.01.2015,"350,00",,,"350,00","0,00",,,
