Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
VFPM,09.11.2022,,,,,,,,
VFPM,10.11.2022,,,,,,,,2.782.500
VFPM,11.11.2022,,,,,,,,
VFPM,14.11.2022,,,,,,,,
VFPM,15.11.2022,,,,,,,,
VFPM,16.11.2022,,,,,,,,
VFPM,17.11.2022,,,,,,,,
VFPM,18.11.2022,,,,,,,,
VFPM,21.11.2022,,,,,,,,
VFPM,22.11.2022,,,,,,,,
VFPM,23.11.2022,,,,,,,,
VFPM,24.11.2022,,,,,,,,
VFPM,25.11.2022,,,,,,,,
VFPM,28.11.2022,,,,,,,,
VFPM,29.11.2022,,,,,,,,
VFPM,30.11.2022,,,,,,,,
VFPM,01.12.2022,,,,,,,,
VFPM,02.12.2022,,,,,,,,
VFPM,05.12.2022,,,,,,,,
VFPM,06.12.2022,,,,,,,,
VFPM,07.12.2022,,,,,,,,
VFPM,09.12.2022,,,,,,,,
VFPM,12.12.2022,,,,,,,,
VFPM,13.12.2022,,,,,,,,
VFPM,14.12.2022,,,,,,,,
VFPM,15.12.2022,,,,,,,,
VFPM,16.12.2022,,,,,,,,
VFPM,19.12.2022,,,,,,,,
VFPM,20.12.2022,,,,,,,,
VFPM,21.12.2022,,,,,,,,
VFPM,22.12.2022,,,,,,,,
VFPM,23.12.2022,,,,,,,,
VFPM,26.12.2022,,,,,,,,
VFPM,27.12.2022,,,,,,,,
VFPM,28.12.2022,,,,,,,,
VFPM,29.12.2022,,,,,,,,
