Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
VITA,13.11.2014,"8.400,00","8.400,00","8.400,00","8.400,00","0,00",54.0,453.600,453.600
VITA,14.11.2014,"8.400,00",,,"8.400,00","0,00",,,
VITA,17.11.2014,"8.500,00","8.500,00","8.500,00","8.500,00","1,19",50.0,425.000,425.000
VITA,18.11.2014,"8.500,00","8.500,00","8.500,00","8.500,00","0,00",5.0,42.500,42.500
VITA,19.11.2014,"8.500,00",,,"8.500,00","0,00",,,
VITA,20.11.2014,"8.500,00",,,"8.500,00","0,00",,,
VITA,21.11.2014,"8.500,00",,,"8.500,00","0,00",,,
VITA,24.11.2014,"8.500,00",,,"8.500,00","0,00",,,
VITA,25.11.2014,"8.500,00","8.500,00","8.500,00","8.500,00","0,00",50.0,425.000,425.000
VITA,26.11.2014,"8.500,00",,,"8.500,00","0,00",,,
VITA,27.11.2014,"8.500,00",,,"8.500,00","0,00",,,
VITA,28.11.2014,"8.500,00",,,"8.500,00","0,00",,,
VITA,01.12.2014,"8.500,00","8.500,00","8.500,00","8.500,00","0,00",17.0,144.500,144.500
VITA,02.12.2014,"8.500,00","8.500,00","8.500,00","8.500,00","0,00",25.0,212.500,212.500
VITA,04.12.2014,"8.500,00",,,"8.500,00","0,00",,,
VITA,05.12.2014,"8.500,00",,,"8.500,00","0,00",,,
VITA,09.12.2014,"8.505,00","8.505,00","8.505,00","8.505,00","0,06",3.0,25.515,25.515
VITA,10.12.2014,"8.505,00",,,"8.505,00","0,00",,,
VITA,11.12.2014,"8.505,00",,,"8.505,00","0,00",,,
VITA,12.12.2014,"8.505,00",,,"8.505,00","0,00",,,
VITA,15.12.2014,"8.600,00","8.600,00","8.600,00","8.600,00","1,12",27.0,232.200,232.200
VITA,16.12.2014,"8.600,00","8.600,00","8.600,00","8.600,00","0,00",11.0,94.600,94.600
VITA,17.12.2014,"8.600,00",,,"8.600,00","0,00",,,
VITA,18.12.2014,"8.600,00","8.600,00","8.600,00","8.600,00","0,00",15.0,129.000,129.000
VITA,19.12.2014,"8.600,00",,,"8.600,00","0,00",,,
VITA,22.12.2014,"8.600,00","8.600,00","8.600,00","8.600,00","0,00",10.0,86.000,86.000
VITA,23.12.2014,"8.600,00",,,"8.600,00","0,00",,,
VITA,24.12.2014,"9.000,00","9.000,00","9.000,00","9.000,00","4,65",30.0,270.000,270.000
VITA,25.12.2014,"9.000,00","9.000,00","9.000,00","9.000,00","0,00",4.0,36.000,36.000
VITA,26.12.2014,"9.000,00",,,"9.000,00","0,00",,,
VITA,29.12.2014,"9.001,00","9.001,00","9.001,00","9.001,00","0,01",9.0,81.009,81.009
VITA,30.12.2014,"9.001,00",,,"9.001,00","0,00",,,
VITA,02.01.2015,"9.001,00",,,"9.001,00","0,00",,,
VITA,05.01.2015,"9.001,00",,,"9.001,00","0,00",,,
VITA,08.01.2015,"9.001,00",,,"9.001,00","0,00",,,
VITA,09.01.2015,"9.001,00",,,"9.001,00","0,00",,,
VITA,12.01.2015,"9.001,00",,,"9.001,00","0,00",,,
VITA,13.01.2015,"9.000,00","9.000,00","9.000,00","9.000,00","-0,01",5.0,45.000,45.000
VITA,14.01.2015,"9.000,00",,,"9.000,00","0,00",,,
VITA,15.01.2015,"9.000,00","9.000,00","9.000,00","9.000,00","0,00",15.0,135.000,135.000
VITA,16.01.2015,"9.000,00",,,"9.000,00","0,00",,,
VITA,20.01.2015,"9.000,00",,,"9.000,00","0,00",,,
VITA,21.01.2015,"9.000,00",,,"9.000,00","0,00",,,
