Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
VROS,13.11.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,14.11.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,17.11.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,18.11.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,19.11.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,20.11.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,21.11.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,24.11.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,25.11.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,26.11.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,27.11.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,28.11.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,01.12.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,02.12.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,04.12.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,05.12.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,09.12.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,10.12.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,11.12.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,12.12.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,15.12.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,16.12.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,17.12.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,18.12.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,19.12.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,22.12.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,23.12.2014,"3.900,00","3.900,00","3.900,00","3.900,00","0,00",8.0,31.2,31.2
VROS,24.12.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,25.12.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,26.12.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,29.12.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,30.12.2014,"3.900,00",,,"3.900,00","0,00",,,
VROS,02.01.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,05.01.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,08.01.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,09.01.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,12.01.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,13.01.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,14.01.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,15.01.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,16.01.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,20.01.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,21.01.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,22.01.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,23.01.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,26.01.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,27.01.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,28.01.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,29.01.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,30.01.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,02.02.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,03.02.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,04.02.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,05.02.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,06.02.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,09.02.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,10.02.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,11.02.2015,"3.900,00",,,"3.900,00","0,00",,,
VROS,12.02.2015,"2.350,00","2.350,00","2.350,00","2.350,00","-39,74",36.0,84.6,84.6
VROS,13.02.2015,"2.350,00",,,"2.350,00","0,00",,,
VROS,16.02.2015,"2.350,00",,,"2.350,00","0,00",,,
VROS,17.02.2015,"2.350,00",,,"2.350,00","0,00",,,
VROS,18.02.2015,"2.350,00",,,"2.350,00","0,00",,,
VROS,19.02.2015,"2.350,00",,,"2.350,00","0,00",,,
VROS,20.02.2015,"2.350,00",,,"2.350,00","0,00",,,
