Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
VSC,13.11.2014,"123,00",,,"123,00","0,00",,,
VSC,14.11.2014,"123,00",,,"123,00","0,00",,,
VSC,17.11.2014,"123,00",,,"123,00","0,00",,,
VSC,18.11.2014,"123,00",,,"123,00","0,00",,,
VSC,19.11.2014,"123,00",,,"123,00","0,00",,,
VSC,20.11.2014,"123,00",,,"123,00","0,00",,,
VSC,21.11.2014,"123,00",,,"123,00","0,00",,,
VSC,24.11.2014,"123,00",,,"123,00","0,00",,,
VSC,25.11.2014,"123,00",,,"123,00","0,00",,,
VSC,26.11.2014,"123,00",,,"123,00","0,00",,,
VSC,27.11.2014,"123,00",,,"123,00","0,00",,,
VSC,28.11.2014,"123,00",,,"123,00","0,00",,,
VSC,01.12.2014,"123,00",,,"123,00","0,00",,,
VSC,02.12.2014,"123,00",,,"123,00","0,00",,,
VSC,04.12.2014,"123,00",,,"123,00","0,00",,,
VSC,05.12.2014,"123,00",,,"123,00","0,00",,,
VSC,09.12.2014,"123,00",,,"123,00","0,00",,,
VSC,10.12.2014,"123,00",,,"123,00","0,00",,,
VSC,11.12.2014,"123,00",,,"123,00","0,00",,,
VSC,12.12.2014,"123,00",,,"123,00","0,00",,,
VSC,15.12.2014,"123,00",,,"123,00","0,00",,,
VSC,16.12.2014,"123,00",,,"123,00","0,00",,,
VSC,17.12.2014,"123,00",,,"123,00","0,00",,,
VSC,18.12.2014,"123,00",,,"123,00","0,00",,,
VSC,19.12.2014,"123,00",,,"123,00","0,00",,,
VSC,22.12.2014,"123,00",,,"123,00","0,00",,,
VSC,23.12.2014,"123,00",,,"123,00","0,00",,,
VSC,24.12.2014,"123,00",,,"123,00","0,00",,,
VSC,25.12.2014,"123,00",,,"123,00","0,00",,,
VSC,26.12.2014,"123,00",,,"123,00","0,00",,,
VSC,29.12.2014,"123,00",,,"123,00","0,00",,,
VSC,30.12.2014,"123,00",,,"123,00","0,00",,,
VSC,02.01.2015,"123,00",,,"123,00","0,00",,,
VSC,05.01.2015,"123,00",,,"123,00","0,00",,,
VSC,08.01.2015,"123,00",,,"123,00","0,00",,,
VSC,09.01.2015,"123,00",,,"123,00","0,00",,,
VSC,12.01.2015,"123,00",,,"123,00","0,00",,,
VSC,13.01.2015,"123,00",,,"123,00","0,00",,,
VSC,14.01.2015,"123,00",,,"123,00","0,00",,,
VSC,15.01.2015,"123,00",,,"123,00","0,00",,,
VSC,16.01.2015,"123,00",,,"123,00","0,00",,,
VSC,20.01.2015,"123,00",,,"123,00","0,00",,,
VSC,21.01.2015,"123,00",,,"123,00","0,00",,,
VSC,22.01.2015,"123,00",,,"123,00","0,00",,,
VSC,23.01.2015,"123,00",,,"123,00","0,00",,,
VSC,26.01.2015,"123,00",,,"123,00","0,00",,,
VSC,27.01.2015,"123,00",,,"123,00","0,00",,,
VSC,28.01.2015,"123,00",,,"123,00","0,00",,,
VSC,29.01.2015,"123,00",,,"123,00","0,00",,,
VSC,30.01.2015,"123,00",,,"123,00","0,00",,,
VSC,02.02.2015,"123,00",,,"123,00","0,00",,,
VSC,03.02.2015,"123,00",,,"123,00","0,00",,,
VSC,04.02.2015,"123,00",,,"123,00","0,00",,,
VSC,05.02.2015,"123,00",,,"123,00","0,00",,,
VSC,06.02.2015,"123,00",,,"123,00","0,00",,,
VSC,09.02.2015,"123,00",,,"123,00","0,00",,,
VSC,10.02.2015,"123,00",,,"123,00","0,00",,,
VSC,11.02.2015,"123,00",,,"123,00","0,00",,,
VSC,12.02.2015,"123,00",,,"123,00","0,00",,,
VSC,13.02.2015,"123,00",,,"123,00","0,00",,,
VSC,16.02.2015,"123,00",,,"123,00","0,00",,,
VSC,17.02.2015,"123,00",,,"123,00","0,00",,,
VSC,18.02.2015,"123,00",,,"123,00","0,00",,,
VSC,19.02.2015,"123,00",,,"123,00","0,00",,,
VSC,20.02.2015,"123,00",,,"123,00","0,00",,,
VSC,23.02.2015,"123,00",,,"123,00","0,00",,,
VSC,24.02.2015,"123,00",,,"123,00","0,00",,,
VSC,25.02.2015,"123,00",,,"123,00","0,00",,,
VSC,26.02.2015,"123,00",,,"123,00","0,00",,,
VSC,27.02.2015,"123,00",,,"123,00","0,00",,,
VSC,02.03.2015,"123,00",,,"123,00","0,00",,,
VSC,03.03.2015,"123,00",,,"123,00","0,00",,,
VSC,04.03.2015,"123,00",,,"123,00","0,00",,,
VSC,05.03.2015,"123,00",,,"123,00","0,00",,,
VSC,06.03.2015,"123,00",,,"123,00","0,00",,,
VSC,09.03.2015,"123,00",,,"123,00","0,00",,,
VSC,10.03.2015,"123,00",,,"123,00","0,00",,,
VSC,11.03.2015,"123,00",,,"123,00","0,00",,,
VSC,12.03.2015,"123,00",,,"123,00","0,00",,,
VSC,13.03.2015,"123,00",,,"123,00","0,00",,,
VSC,16.03.2015,"123,00",,,"123,00","0,00",,,
VSC,17.03.2015,"123,00",,,"123,00","0,00",,,
VSC,18.03.2015,"123,00",,,"123,00","0,00",,,
