Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
VTKS,13.11.2014,"945,00",,,"945,00","0,00",,,
VTKS,14.11.2014,"945,00",,,"945,00","0,00",,,
VTKS,17.11.2014,"945,00",,,"945,00","0,00",,,
VTKS,18.11.2014,"945,00",,,"945,00","0,00",,,
VTKS,19.11.2014,"945,00",,,"945,00","0,00",,,
VTKS,20.11.2014,"945,00",,,"945,00","0,00",,,
VTKS,21.11.2014,"945,00",,,"945,00","0,00",,,
VTKS,24.11.2014,"945,00",,,"945,00","0,00",,,
VTKS,25.11.2014,"945,00",,,"945,00","0,00",,,
VTKS,26.11.2014,"945,00",,,"945,00","0,00",,,
VTKS,27.11.2014,"945,00",,,"945,00","0,00",,,
VTKS,28.11.2014,"945,00",,,"945,00","0,00",,,
VTKS,01.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,02.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,04.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,05.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,09.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,10.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,11.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,12.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,15.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,16.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,17.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,18.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,19.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,22.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,23.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,24.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,25.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,26.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,29.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,30.12.2014,"945,00",,,"945,00","0,00",,,
VTKS,02.01.2015,"945,00",,,"945,00","0,00",,,
VTKS,05.01.2015,"945,00",,,"945,00","0,00",,,
VTKS,08.01.2015,"945,00",,,"945,00","0,00",,,
VTKS,09.01.2015,"945,00",,,"945,00","0,00",,,
VTKS,12.01.2015,"945,00",,,"945,00","0,00",,,
VTKS,13.01.2015,"945,00","945,00","945,00","945,00","0,00",114.0,107.73,107.73
VTKS,14.01.2015,"945,00",,,"945,00","0,00",,,
VTKS,15.01.2015,"945,00",,,"945,00","0,00",,,
VTKS,16.01.2015,"945,00",,,"945,00","0,00",,,
VTKS,20.01.2015,"945,00",,,"945,00","0,00",,,
VTKS,21.01.2015,"945,00",,,"945,00","0,00",,,
VTKS,22.01.2015,"945,00",,,"945,00","0,00",,,
VTKS,23.01.2015,"945,00",,,"945,00","0,00",,,
VTKS,26.01.2015,"945,00",,,"945,00","0,00",,,
VTKS,27.01.2015,"945,00",,,"945,00","0,00",,,
VTKS,28.01.2015,"945,00",,,"945,00","0,00",,,
VTKS,29.01.2015,"945,00",,,"945,00","0,00",,,
VTKS,30.01.2015,"945,00",,,"945,00","0,00",,,
VTKS,02.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,03.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,04.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,05.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,06.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,09.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,10.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,11.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,12.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,13.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,16.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,17.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,18.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,19.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,20.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,23.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,24.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,25.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,26.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,27.02.2015,"945,00",,,"945,00","0,00",,,
VTKS,02.03.2015,"945,00",,,"945,00","0,00",,,
VTKS,03.03.2015,"945,00",,,"945,00","0,00",,,
VTKS,04.03.2015,"945,00",,,"945,00","0,00",,,
VTKS,05.03.2015,"945,00",,,"945,00","0,00",,,
VTKS,06.03.2015,"945,00",,,"945,00","0,00",,,
VTKS,09.03.2015,"945,00",,,"945,00","0,00",,,
VTKS,10.03.2015,"945,00",,,"945,00","0,00",,,
VTKS,11.03.2015,"945,00",,,"945,00","0,00",,,
VTKS,12.03.2015,"945,00",,,"945,00","0,00",,,
VTKS,13.03.2015,"945,00",,,"945,00","0,00",,,
VTKS,16.03.2015,"945,00",,,"945,00","0,00",,,
VTKS,17.03.2015,"945,00",,,"945,00","0,00",,,
VTKS,18.03.2015,"945,00",,,"945,00","0,00",,,
VTKS,19.03.2015,"945,00",,,"945,00","0,00",,,
