Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
ZAS,13.11.2014,"310,00",,,"310,00","0,00",,,
ZAS,14.11.2014,"310,00",,,"310,00","0,00",,,
ZAS,17.11.2014,"310,00",,,"310,00","0,00",,,
ZAS,18.11.2014,"310,00",,,"310,00","0,00",,,
ZAS,19.11.2014,"310,00",,,"310,00","0,00",,,
ZAS,20.11.2014,"310,00",,,"310,00","0,00",,,
ZAS,21.11.2014,"310,00",,,"310,00","0,00",,,
ZAS,24.11.2014,"310,00",,,"310,00","0,00",,,
ZAS,25.11.2014,"310,00",,,"310,00","0,00",,,
ZAS,26.11.2014,"310,00",,,"310,00","0,00",,,
ZAS,27.11.2014,"310,00",,,"310,00","0,00",,,
ZAS,28.11.2014,"310,00",,,"310,00","0,00",,,
ZAS,01.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,02.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,04.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,05.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,09.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,10.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,11.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,12.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,15.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,16.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,17.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,18.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,19.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,22.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,23.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,24.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,25.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,26.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,29.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,30.12.2014,"310,00",,,"310,00","0,00",,,
ZAS,02.01.2015,"310,00",,,"310,00","0,00",,,
ZAS,05.01.2015,"310,00",,,"310,00","0,00",,,
ZAS,08.01.2015,"310,00",,,"310,00","0,00",,,
ZAS,09.01.2015,"310,00",,,"310,00","0,00",,,
ZAS,12.01.2015,"310,00",,,"310,00","0,00",,,
ZAS,13.01.2015,"310,00",,,"310,00","0,00",,,
ZAS,14.01.2015,"310,00",,,"310,00","0,00",,,
ZAS,15.01.2015,"310,00",,,"310,00","0,00",,,
ZAS,16.01.2015,"310,00",,,"310,00","0,00",,,
ZAS,20.01.2015,"310,00",,,"310,00","0,00",,,
ZAS,21.01.2015,"310,00",,,"310,00","0,00",,,
ZAS,22.01.2015,"310,00",,,"310,00","0,00",,,
ZAS,23.01.2015,"310,00",,,"310,00","0,00",,,
ZAS,26.01.2015,"310,00",,,"310,00","0,00",,,
ZAS,27.01.2015,"310,00",,,"310,00","0,00",,,
ZAS,28.01.2015,"310,00",,,"310,00","0,00",,,
ZAS,29.01.2015,"310,00",,,"310,00","0,00",,,
ZAS,30.01.2015,"310,00",,,"310,00","0,00",,,
ZAS,02.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,03.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,04.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,05.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,06.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,09.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,10.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,11.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,12.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,13.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,16.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,17.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,18.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,19.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,20.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,23.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,24.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,25.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,26.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,27.02.2015,"310,00",,,"310,00","0,00",,,
ZAS,02.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,03.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,04.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,05.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,06.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,09.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,10.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,11.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,12.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,13.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,16.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,17.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,18.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,19.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,20.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,23.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,24.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,25.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,26.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,27.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,30.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,31.03.2015,"310,00",,,"310,00","0,00",,,
ZAS,01.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,02.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,03.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,06.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,07.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,08.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,09.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,14.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,15.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,16.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,17.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,20.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,21.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,22.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,23.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,24.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,27.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,28.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,29.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,30.04.2015,"310,00",,,"310,00","0,00",,,
ZAS,04.05.2015,"310,00",,,"310,00","0,00",,,
ZAS,05.05.2015,"310,00","310,00","310,00","310,00","0,00",713.0,221.03,221.03
ZAS,06.05.2015,"310,00",,,"310,00","0,00",,,
ZAS,07.05.2015,"310,00",,,"310,00","0,00",,,
ZAS,08.05.2015,"310,00",,,"310,00","0,00",,,
ZAS,11.05.2015,"310,00",,,"310,00","0,00",,,
ZAS,12.05.2015,"310,00",,,"310,00","0,00",,,
ZAS,13.05.2015,"310,00",,,"310,00","0,00",,,
ZAS,14.05.2015,"310,00",,,"310,00","0,00",,,
ZAS,15.05.2015,"310,00",,,"310,00","0,00",,,
