Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
ZILU,13.11.2014,"90,00",,,"90,00","0,00",,,
ZILU,14.11.2014,"90,00",,,"90,00","0,00",,,
ZILU,17.11.2014,"90,00","90,00","90,00","90,00","0,00",218.0,19.62,19.62
ZILU,18.11.2014,"90,00",,,"90,00","0,00",,,
ZILU,19.11.2014,"90,00",,,"90,00","0,00",,,
ZILU,20.11.2014,"90,00",,,"90,00","0,00",,,
ZILU,21.11.2014,"90,00",,,"90,00","0,00",,,
ZILU,24.11.2014,"90,00",,,"90,00","0,00",,,
ZILU,25.11.2014,"90,00",,,"90,00","0,00",,,
ZILU,26.11.2014,"90,00",,,"90,00","0,00",,,
ZILU,27.11.2014,"90,00",,,"90,00","0,00",,,
ZILU,28.11.2014,"90,00",,,"90,00","0,00",,,
ZILU,01.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,02.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,04.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,05.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,09.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,10.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,11.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,12.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,15.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,16.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,17.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,18.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,19.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,22.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,23.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,24.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,25.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,26.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,29.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,30.12.2014,"90,00",,,"90,00","0,00",,,
ZILU,02.01.2015,"90,00",,,"90,00","0,00",,,
ZILU,05.01.2015,"90,00",,,"90,00","0,00",,,
ZILU,08.01.2015,"90,00",,,"90,00","0,00",,,
ZILU,09.01.2015,"90,00",,,"90,00","0,00",,,
ZILU,12.01.2015,"90,00",,,"90,00","0,00",,,
ZILU,13.01.2015,"90,00",,,"90,00","0,00",,,
ZILU,14.01.2015,"90,00",,,"90,00","0,00",,,
ZILU,15.01.2015,"90,00",,,"90,00","0,00",,,
ZILU,16.01.2015,"90,00",,,"90,00","0,00",,,
ZILU,20.01.2015,"90,00",,,"90,00","0,00",,,
ZILU,21.01.2015,"90,00",,,"90,00","0,00",,,
ZILU,22.01.2015,"90,00",,,"90,00","0,00",,,
ZILU,23.01.2015,"90,00",,,"90,00","0,00",,,
ZILU,26.01.2015,"90,00",,,"90,00","0,00",,,
ZILU,27.01.2015,"90,00",,,"90,00","0,00",,,
ZILU,28.01.2015,"90,00",,,"90,00","0,00",,,
ZILU,29.01.2015,"90,00",,,"90,00","0,00",,,
ZILU,30.01.2015,"90,00",,,"90,00","0,00",,,
ZILU,02.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,03.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,04.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,05.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,06.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,09.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,10.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,11.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,12.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,13.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,16.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,17.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,18.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,19.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,20.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,23.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,24.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,25.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,26.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,27.02.2015,"90,00",,,"90,00","0,00",,,
ZILU,02.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,03.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,04.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,05.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,06.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,09.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,10.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,11.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,12.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,13.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,16.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,17.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,18.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,19.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,20.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,23.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,24.03.2015,"90,00","90,00","90,00","90,00","0,00",250.0,22.5,22.5
ZILU,25.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,26.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,27.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,30.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,31.03.2015,"90,00",,,"90,00","0,00",,,
ZILU,01.04.2015,"90,00",,,"90,00","0,00",,,
ZILU,02.04.2015,"90,00",,,"90,00","0,00",,,
ZILU,03.04.2015,"90,00",,,"90,00","0,00",,,
ZILU,06.04.2015,"90,00",,,"90,00","0,00",,,
ZILU,07.04.2015,"90,00",,,"90,00","0,00",,,
ZILU,08.04.2015,"90,00",,,"90,00","0,00",,,
ZILU,09.04.2015,"90,00",,,"90,00","0,00",,,
ZILU,14.04.2015,"90,00",,,"90,00","0,00",,,
ZILU,15.04.2015,"90,00",,,"90,00","0,00",,,
