Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
ZILUP,13.11.2014,"560,00",,,"560,00","0,00",,,
ZILUP,14.11.2014,"560,00",,,"560,00","0,00",,,
ZILUP,17.11.2014,"560,00",,,"560,00","0,00",,,
ZILUP,18.11.2014,"560,00",,,"560,00","0,00",,,
ZILUP,19.11.2014,"560,00",,,"560,00","0,00",,,
ZILUP,20.11.2014,"560,00",,,"560,00","0,00",,,
ZILUP,21.11.2014,"560,00",,,"560,00","0,00",,,
ZILUP,24.11.2014,"560,00",,,"560,00","0,00",,,
ZILUP,25.11.2014,"560,00",,,"560,00","0,00",,,
ZILUP,26.11.2014,"560,00",,,"560,00","0,00",,,
ZILUP,27.11.2014,"560,00",,,"560,00","0,00",,,
ZILUP,28.11.2014,"560,00",,,"560,00","0,00",,,
ZILUP,01.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,02.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,04.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,05.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,09.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,10.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,11.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,12.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,15.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,16.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,17.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,18.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,19.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,22.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,23.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,24.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,25.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,26.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,29.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,30.12.2014,"560,00",,,"560,00","0,00",,,
ZILUP,02.01.2015,"560,00",,,"560,00","0,00",,,
ZILUP,05.01.2015,"560,00",,,"560,00","0,00",,,
ZILUP,08.01.2015,"560,00",,,"560,00","0,00",,,
ZILUP,09.01.2015,"560,00",,,"560,00","0,00",,,
ZILUP,12.01.2015,"560,00",,,"560,00","0,00",,,
ZILUP,13.01.2015,"560,00",,,"560,00","0,00",,,
ZILUP,14.01.2015,"560,00",,,"560,00","0,00",,,
ZILUP,15.01.2015,"560,00",,,"560,00","0,00",,,
ZILUP,16.01.2015,"560,00",,,"560,00","0,00",,,
ZILUP,20.01.2015,"560,00",,,"560,00","0,00",,,
ZILUP,21.01.2015,"560,00",,,"560,00","0,00",,,
ZILUP,22.01.2015,"560,00",,,"560,00","0,00",,,
ZILUP,23.01.2015,"560,00",,,"560,00","0,00",,,
ZILUP,26.01.2015,"560,00",,,"560,00","0,00",,,
ZILUP,27.01.2015,"560,00",,,"560,00","0,00",,,
ZILUP,28.01.2015,"560,00",,,"560,00","0,00",,,
ZILUP,29.01.2015,"560,00",,,"560,00","0,00",,,
ZILUP,30.01.2015,"560,00",,,"560,00","0,00",,,
ZILUP,02.02.2015,"560,00",,,"560,00","0,00",,,
ZILUP,03.02.2015,"560,00",,,"560,00","0,00",,,
ZILUP,04.02.2015,"560,00",,,"560,00","0,00",,,
ZILUP,05.02.2015,"560,00",,,"560,00","0,00",,,
ZILUP,06.02.2015,"560,00",,,"560,00","0,00",,,
ZILUP,09.02.2015,"560,00",,,"560,00","0,00",,,
ZILUP,10.02.2015,"560,00",,,"560,00","0,00",,,
ZILUP,11.02.2015,"560,00",,,"560,00","0,00",,,
ZILUP,12.02.2015,"560,00",,,"560,00","0,00",,,
ZILUP,13.02.2015,"560,00",,,"560,00","0,00",,,
ZILUP,16.02.2015,"560,00",,,"560,00","0,00",,,
ZILUP,17.02.2015,"560,00",,,"560,00","0,00",,,
ZILUP,18.02.2015,"560,00",,,"560,00","0,00",,,
ZILUP,19.02.2015,"560,00",,,"560,00","0,00",,,
ZILUP,20.02.2015,"560,00",,,"560,00","0,00",,,
ZILUP,23.02.2015,"560,00",,,"560,00","0,00",,,
ZILUP,24.02.2015,"560,00",,,"560,00","0,00",,,
ZILUP,25.02.2015,"560,00",,,"560,00","0,00",,,
ZILUP,26.02.2015,"560,00",,,"560,00","0,00",,,
