Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
ZIMS,13.11.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,14.11.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,17.11.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,18.11.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,19.11.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,20.11.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,21.11.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,24.11.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,25.11.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,26.11.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,27.11.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,28.11.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,01.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,02.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,04.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,05.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,09.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,10.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,11.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,12.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,15.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,16.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,17.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,18.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,19.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,22.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,23.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,24.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,25.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,26.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,29.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,30.12.2014,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,02.01.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,05.01.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,08.01.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,09.01.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,12.01.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,13.01.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,14.01.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,15.01.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,16.01.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,20.01.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,21.01.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,22.01.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,23.01.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,26.01.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,27.01.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,28.01.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,29.01.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,30.01.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,02.02.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,03.02.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,04.02.2015,"1.230,00",,,"1.230,00","0,00",,,
ZIMS,05.02.2015,"1.230,00",,,"1.230,00","0,00",,,
