Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
ZKAR,13.11.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,14.11.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,17.11.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,18.11.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,19.11.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,20.11.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,21.11.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,24.11.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,25.11.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,26.11.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,27.11.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,28.11.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,01.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,02.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,04.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,05.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,09.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,10.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,11.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,12.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,15.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,16.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,17.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,18.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,19.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,22.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,23.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,24.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,25.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,26.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,29.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,30.12.2014,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,02.01.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,05.01.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,08.01.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,09.01.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,12.01.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,13.01.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,14.01.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,15.01.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,16.01.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,20.01.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,21.01.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,22.01.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,23.01.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,26.01.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,27.01.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,28.01.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,29.01.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,30.01.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,02.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,03.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,04.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,05.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,06.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,09.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,10.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,11.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,12.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,13.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,16.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,17.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,18.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,19.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,20.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,23.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,24.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,25.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,26.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,27.02.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,02.03.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,03.03.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,04.03.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,05.03.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,06.03.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,09.03.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,10.03.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,11.03.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,12.03.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,13.03.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,16.03.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,17.03.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,18.03.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,19.03.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,20.03.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,23.03.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,24.03.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,25.03.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,26.03.2015,"1.000,00",,,"1.000,00","0,00",,,
ZKAR,27.03.2015,"970,00","970,00","970,00","970,00","-3,00",191.0,185.27,185.27
ZKAR,30.03.2015,"970,00",,,"970,00","0,00",,,
ZKAR,31.03.2015,"970,00",,,"970,00","0,00",,,
ZKAR,01.04.2015,"970,00",,,"970,00","0,00",,,
ZKAR,02.04.2015,"970,00",,,"970,00","0,00",,,
ZKAR,03.04.2015,"970,00",,,"970,00","0,00",,,
