Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
ZPKO,13.11.2014,"2.360,00",,,"2.360,00","0,00",,,
ZPKO,14.11.2014,"2.360,00",,,"2.360,00","0,00",,,
ZPKO,17.11.2014,"2.360,00",,,"2.360,00","0,00",,,
ZPKO,18.11.2014,"2.360,00",,,"2.360,00","0,00",,,
ZPKO,19.11.2014,"2.360,00",,,"2.360,00","0,00",,,
ZPKO,20.11.2014,"2.360,00",,,"2.360,00","0,00",,,
ZPKO,21.11.2014,"2.360,00",,,"2.360,00","0,00",,,
ZPKO,24.11.2014,"2.360,00",,,"2.360,00","0,00",,,
ZPKO,25.11.2014,"2.360,00",,,"2.360,00","0,00",,,
ZPKO,26.11.2014,"2.360,00",,,"2.360,00","0,00",,,
ZPKO,27.11.2014,"2.290,00","2.290,00","2.290,00","2.290,00","-2,97",19.0,43.51,43.510
ZPKO,28.11.2014,"2.290,00",,,"2.290,00","0,00",,,
ZPKO,01.12.2014,"2.290,00",,,"2.290,00","0,00",,,
ZPKO,02.12.2014,"2.300,00","2.300,00","2.300,00","2.300,00","0,44",170.0,391.0,391.000
ZPKO,04.12.2014,"2.300,00",,,"2.300,00","0,00",,,
ZPKO,05.12.2014,"2.300,00",,,"2.300,00","0,00",,,
ZPKO,09.12.2014,"2.300,00",,,"2.300,00","0,00",,,
ZPKO,10.12.2014,"2.300,00",,,"2.300,00","0,00",,,9.912.000
ZPKO,11.12.2014,"2.300,00",,,"2.300,00","0,00",,,9.912.000
ZPKO,12.12.2014,"2.300,00",,,"2.300,00","0,00",,,9.912.000
ZPKO,15.12.2014,"2.300,00",,,"2.300,00","0,00",,,
ZPKO,16.12.2014,"2.300,00",,,"2.300,00","0,00",,,33.998.160
ZPKO,17.12.2014,"2.300,00",,,"2.300,00","0,00",,,31.727.840
ZPKO,18.12.2014,"2.300,00",,,"2.300,00","0,00",,,
ZPKO,19.12.2014,"2.300,00",,,"2.300,00","0,00",,,
ZPKO,22.12.2014,"2.300,00",,,"2.300,00","0,00",,,
ZPKO,23.12.2014,"1.840,00","1.840,00","1.840,00","1.840,00","-20,00",8.0,14.72,14.720
ZPKO,24.12.2014,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,25.12.2014,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,26.12.2014,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,29.12.2014,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,30.12.2014,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,02.01.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,05.01.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,08.01.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,09.01.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,12.01.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,13.01.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,14.01.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,15.01.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,16.01.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,20.01.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,21.01.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,22.01.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,23.01.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,26.01.2015,"1.840,00","1.840,00","1.840,00","1.840,00","0,00",6.0,11.04,11.040
ZPKO,27.01.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,28.01.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,29.01.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,30.01.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,02.02.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,03.02.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,04.02.2015,"1.840,00",,,"1.840,00","0,00",,,
ZPKO,05.02.2015,"1.785,00","1.785,00","1.785,00","1.785,00","-2,99",33.0,58.905,58.905
ZPKO,06.02.2015,"1.785,00",,,"1.785,00","0,00",,,
ZPKO,09.02.2015,"1.785,00",,,"1.785,00","0,00",,,
ZPKO,10.02.2015,"1.732,00","1.732,00","1.732,00","1.732,00","-2,97",8.0,13.856,13.856
ZPKO,11.02.2015,"1.732,00","1.732,00","1.732,00","1.732,00","0,00",21.0,36.372,36.372
ZPKO,12.02.2015,"1.732,00","1.732,00","1.732,00","1.732,00","0,00",135.0,233.82,233.820
ZPKO,13.02.2015,"1.732,00",,,"1.732,00","0,00",,,
ZPKO,16.02.2015,"1.732,00",,,"1.732,00","0,00",,,
ZPKO,17.02.2015,"1.710,00","1.710,00","1.710,00","1.710,00","-1,27",14.0,23.94,23.940
ZPKO,18.02.2015,"1.710,00",,,"1.710,00","0,00",,,
ZPKO,19.02.2015,"1.710,00",,,"1.710,00","0,00",,,
ZPKO,20.02.2015,"1.710,00",,,"1.710,00","0,00",,,
ZPKO,23.02.2015,"1.710,00",,,"1.710,00","0,00",,,
ZPKO,24.02.2015,"1.720,00","1.720,00","1.720,00","1.720,00","0,58",40.0,68.8,68.800
ZPKO,25.02.2015,"1.720,00",,,"1.720,00","0,00",,,
ZPKO,26.02.2015,"1.720,00",,,"1.720,00","0,00",,,
ZPKO,27.02.2015,"1.720,00",,,"1.720,00","0,00",,,
ZPKO,02.03.2015,"1.720,00",,,"1.720,00","0,00",,,
ZPKO,03.03.2015,"1.720,00",,,"1.720,00","0,00",,,
ZPKO,04.03.2015,"1.720,00",,,"1.720,00","0,00",,,
ZPKO,05.03.2015,"1.720,00",,,"1.720,00","0,00",,,
