Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
ZPOG,13.11.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,14.11.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,17.11.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,18.11.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,19.11.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,20.11.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,21.11.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,24.11.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,25.11.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,26.11.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,27.11.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,28.11.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,01.12.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,02.12.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,04.12.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,05.12.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,09.12.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,10.12.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,11.12.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,12.12.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,15.12.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,16.12.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,17.12.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,18.12.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,19.12.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,22.12.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,23.12.2014,"2.050,00",,,"2.050,00","0,00",,,
ZPOG,24.12.2014,"2.050,00",,,"2.050,00","0,00",,,
