Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
ZUAS,13.11.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,14.11.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,17.11.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,18.11.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,19.11.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,20.11.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,21.11.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,24.11.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,25.11.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,26.11.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,27.11.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,28.11.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,01.12.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,02.12.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,04.12.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,05.12.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,09.12.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,10.12.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,11.12.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,12.12.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,15.12.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,16.12.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,17.12.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,18.12.2014,"2.155,00",,,"2.155,00","0,00",,,
ZUAS,19.12.2014,"2.091,00","2.091,00","2.091,00","2.091,00","-2,97",144.0,301.104,301.104
ZUAS,22.12.2014,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,23.12.2014,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,24.12.2014,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,25.12.2014,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,26.12.2014,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,29.12.2014,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,30.12.2014,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,02.01.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,05.01.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,08.01.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,09.01.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,12.01.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,13.01.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,14.01.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,15.01.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,16.01.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,20.01.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,21.01.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,22.01.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,23.01.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,26.01.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,27.01.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,28.01.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,29.01.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,30.01.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,02.02.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,03.02.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,04.02.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,05.02.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,06.02.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,09.02.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,10.02.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,11.02.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,12.02.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,13.02.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,16.02.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,17.02.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,18.02.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,19.02.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,20.02.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,23.02.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,24.02.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,25.02.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,26.02.2015,"2.091,00",,,"2.091,00","0,00",,,
ZUAS,27.02.2015,"2.091,00",,,"2.091,00","0,00",,,
